[2026-05-22 13:09:42 UTC] iverilog '-Wall' '-g2012' design.sv testbench.sv  && unbuffer vvp a.out  
Time=0 | rst=0 | M1=xxx | MT=xxx | M2=xxx | S=xxx
Time=500000000000 | rst=0 | M1=001 | MT=100 | M2=001 | S=100
Time=1000000000000 | rst=1 | M1=001 | MT=100 | M2=001 | S=100
Time=2000000000000 | rst=0 | M1=001 | MT=100 | M2=001 | S=100
Time=22500000000000 | rst=0 | M1=001 | MT=100 | M2=010 | S=100
Time=28500000000000 | rst=0 | M1=001 | MT=001 | M2=100 | S=100
Time=49500000000000 | rst=0 | M1=010 | MT=010 | M2=100 | S=100
Time=55500000000000 | rst=0 | M1=100 | MT=100 | M2=100 | S=001
Time=76500000000000 | rst=0 | M1=100 | MT=100 | M2=100 | S=010
Time=82500000000000 | rst=0 | M1=001 | MT=100 | M2=001 | S=100
Time=103500000000000 | rst=0 | M1=001 | MT=100 | M2=010 | S=100
Time=109500000000000 | rst=0 | M1=001 | MT=001 | M2=100 | S=100
Time=130500000000000 | rst=0 | M1=010 | MT=010 | M2=100 | S=100
Time=136500000000000 | rst=0 | M1=100 | MT=100 | M2=100 | S=001
Time=157500000000000 | rst=0 | M1=100 | MT=100 | M2=100 | S=010
Time=163500000000000 | rst=0 | M1=001 | MT=100 | M2=001 | S=100
Time=184500000000000 | rst=0 | M1=001 | MT=100 | M2=010 | S=100
Time=190500000000000 | rst=0 | M1=001 | MT=001 | M2=100 | S=100
testbench.sv:38: $finish called at 202000000000000 (1ps)
Done
